userName,content,at
Pratama Putra Bungsu,Kenapa engga engga bisa login kak..tolong dong,2022-07-11 14:50:57
Takil Kerina,"Referrar code, ini code dari mana? Tanya ke pihak karyawan starbuck juga gak tau!",2022-07-08 18:52:13
Lita AKM,Kecewa banget udah ngundang temen pake referal saya tp sampai skrg ga masuk2 reward 50% nya. Dan saya jg hari ini sudah top up yg 300rb di starbucks store benhil tp 30 Star nya ga muncul2,2022-07-04 23:44:39
Zuke Ichwan,"Pertahankan peformanya, login dh mulai bener",2022-07-03 11:31:00
hilmi saftian,great apps!,2022-07-02 20:29:24
Fitro Naja,Belum coba pesan wk,2022-07-02 18:22:06
Tito,Deposit tidak bisa di belanjakan di luar Starbucks,2022-07-02 09:26:08
Rizky Adi N,"Aplikasinya membantu bangettt, tapi semenjak Update kok jadi agak lemot ya?",2022-06-28 18:22:37
Noviana Pandini,Aplikasi apaan sih...aku udh bolak balik ngirim kode verikasi email knapa gk bisa gituu lhoo..,2022-06-27 21:29:14
Mohammad Hikmayudin,Gak bisa login,2022-06-27 15:24:04
Krisnha Buddhi,"Gagal Login padahal udah bener email & password login nya, aplikasi ccd!!!",2022-06-25 09:00:36
Pemenang Pemenang,Sy dah ubah password dan update. Smp skrg ga bs masuk2 alasannya salah password. Sy minta untuk reset pass word malah ga ada notif. Bagaimana ini?,2022-06-21 21:06:10
Junnlechs,"Pertama nya iya ngebug, ada masalah saat login, loading terus. Tapi karena respon nya cepat & segera diperbaiki bug nya beberapa saat kemudian, ya salut lah, bertanggung jawab dan nggak lari dari masalah, ada tanggapan. Semoga semakin baik lagi untuk aplikasinya. Pekerjanya beneran kerja sih bagus",2022-06-17 21:24:06
Iwan G,"Mau login gak bisa padahal username dan password sudah benar, malahan akun saya diblokir. Sudah komplain ke customer service nya tapi pelayanan nya lambat sekali sampai sekarang belum ada solusi. Kecewa aja sih brand sekelas Starbucks aplikasi nya bobrok seperti ini",2022-06-17 18:43:58
Steven,Mantap,2022-06-17 07:14:15
NC HASNA,Hargabya dong pake harga mahasiswa,2022-06-16 11:21:33
Dirja Saputra,Percuma buat app. Tdk bs join. Ngak jelas,2022-06-15 22:51:27
ResistanceCore,App agak lama kerjanya ga bisa sat set :(,2022-06-14 05:25:25
fendi surya,Mantepss thanks,2022-06-13 14:20:34
fitri oktarini,Keren.,2022-06-13 12:57:55
Erik Jak,Good,2022-06-13 00:55:59
Tiur Situmorang,Good,2022-06-12 21:35:55
Fernando yogi Kanan,"Aplikasinya benar² nggak jelas, saya sudah masukkan password email saya tapi, nggak bisa. Ini disuruh buat password nggak sih atau pakai password yang asli gitu. Tolong anda jelaskan.",2022-06-12 18:29:19
Adi Winarso,Aplikasi kaga ada jelas2 nya.....log in sampe diulang kaga pernah bisa sign up.....gw nya yg ga bisa apa aplikasi nya emang kaga jelas......,2022-06-12 12:12:59
erma erma,top,2022-06-11 12:27:46
Tommy Yan Sofyan,So far so good,2022-06-10 20:24:47
Elizabeth Santoso,"Kopi terbaik, barista terbaik, staff terbaik 👍🏻",2022-06-10 17:31:48
Hadi 2005,ok,2022-06-10 15:02:49
Yohanes Kurniawan,"Sejak update aplikasi nya, buat buka aja lemot nya ajubilah, sampe nenek-nenek jadi muda lagi baru bisa kebuka. Aplikasi dibuat biar mempermudah, bukan bikin orang jadi emosi gara-gara lelet banget 👎👎👎👎",2022-06-10 09:24:53
Ano Fandree,Nice,2022-06-10 06:56:00
MUFA MON,"Nggak bisa sign in sama sekali. Padahal pas join in udah beres, tinggal sign in aja. Tapi cuman stuck disitu ga bisa masuk",2022-06-09 19:54:24
landong Siringoringo,Memuaskan,2022-06-09 15:49:18
Mulyono Sapto hudoyo,Good,2022-06-09 06:31:55
Danta armando,KereN,2022-06-08 21:20:30
Beny Kakasan,Good notion,2022-06-08 20:58:51
ardhi perdana,Nice app,2022-06-08 12:17:13
ANANDA ANGGARA PRASETYO (ANGGARA),Tks Sturback untuk aplikasi nya,2022-06-08 09:48:14
aloysius soehartono,Varian seperti frape java chip sm vanilla jika ada yg hangat lebih baik,2022-06-08 08:56:29
marlin prihata,Love it,2022-06-08 08:41:29
Wiwied Widya Sartika,Favorit🥰,2022-06-07 21:45:10
Samhana Dzikra F. Y.,"Klian yg gada masalah jan lupa kasih bintang 5 okeii. Kesian jg bnyk bgt yg bintang 1 pdhl pasti banyak yg lancar2 aja tp ga ngasih bintang. Appnya bagus kok, aku dpt bnyk bgt voucher jd bisa sering2 beli deh wkwk. Tingkatkan trs ya starbucks!!!",2022-06-07 20:28:51
Denny Prakoso,Ok,2022-06-07 17:42:39
my chalu,Puas banget,2022-06-07 14:31:14
Noviyanto Sagita,Mantap...banyak promo nya 👍👍,2022-06-07 14:27:27
wisnu pragolo,😁,2022-06-07 12:36:48
Bryan Bardono,Banyak promo......🤣👍,2022-06-07 11:33:07
Yuci Rachmad,Lumayan lah,2022-06-07 11:18:20
Beni YS,Good. Sometime takes time to open the aplication.,2022-06-07 10:07:11
Markus Gunanto,Sangat baik,2022-06-07 09:54:38
Tanti Sisca,👍👍👍,2022-06-07 09:47:05
Budy Hartono,The best coffee and coffee shop in the world,2022-06-07 09:20:25
Fitrianisa NWidasari,"suka loading kalo pas susah signal aja macam di rest area, bandara gitu².. sejauh pakai app ini gampang sih buat transaksi di kasir",2022-06-07 09:18:58
One Juary Siahaan,Good aplication,2022-06-07 09:17:08
freddy manalu,Gas,2022-06-07 09:01:32
Imron Haidir,Userfriendly,2022-06-07 08:54:17
Widia Astuty,"Minuman2 nya enak pake banget, favorit caramel machiato 🥰👍 , Tumbler nya lucu2 bgt 😍",2022-06-07 08:46:14
Rez lia,"⭐️5 lah pokok nya, starbucks always in heart",2022-06-07 08:27:28
Rostini Pho,Sangat nyaman n cepat... pokoknya sukses deh buat starbucks indonesia.... yang selalu memanjakan customer dgn beragam promo... 🙏🙏🙏,2022-06-07 08:26:51
Laras Widyaningrum,Suka cuman sayang menunya gak bisa dilihat diaplikasi lagi,2022-06-07 07:04:29
Vita Adenfurniture,ENAKKK BETUL MINUMAN NYA🤗🤗🤗🤗,2022-06-07 05:59:41
irvan kudo,"Sekarang loginnya susah, setelah password loading terus lama. Tolong dibenerin, terima kasih",2022-06-04 21:39:25
Vera Aulia Dewi,"Gajelas banget, mau sign up aja lamanya sampe sejam sendiri, dibilang OTP code salah, padahal saat masukin OTP udh di confirm bener. Giliran udh bisa, mau sign in aja lama bgttttt, cape duluan",2022-06-04 15:04:27
Rejeki Sri,The Best,2022-06-01 10:51:18
sayaa siapaa,aplikasi aneh tinggal di surabaya ditunjukin di jakarta mulu. kalo emang mobile ordernya khusus jakarta trus napa ngasih kupon diskon2 di seluruh outlet,2022-05-29 13:44:40
Agung Triyono,Aplikasi bagus dan gampang digunakan.,2022-05-26 16:16:07
Fitri Raindhard,Cuma bisa mesen d area jakarta aja ya?????? Trus ngapaen store luar jakarta buat donlot???????????????,2022-05-23 11:32:33
epi marbun,"Awal punya member card gak perlu download aplikasi ini, kenapa pas mau beli gunain member card download aplikasi ini dan sama sekali gak bisa login. Di email slow respon 🥺. Bye lah gak usah pakai member card. Bad banget ini aplikasi",2022-05-19 15:15:46
Matte RED,G bisa login,2022-05-19 11:29:36
maudy oktaviani,Sign tidak bisa Tidak ada email masuk,2022-05-16 17:03:38
Miko,"SEPERTI REVIEWER SEBELUMNYA, APLIKASI GBLK. Tinggal di Palembang tapi nunjukkin Jakarta, mau order tapi place tetep di Jakarta, GPS aktif, izin Location juga udah on, tetep aja di Jakarta. Gimana mau order, developer gak niat",2022-05-14 18:11:42
HERMANTO Ten,Aplikasi sering hang sekarang. Karyawan di grand indo kaku sekali...padahal lagi tum ler day. You suckssss Yach tetap saja saya bayar normal jadinya...promo nya kan jadi bohong namanya begitu bro...u sucks,2022-05-13 22:30:18
Susan,"Makasih, sudah bisa digunakan kembali",2022-05-13 21:26:10
erickzONEs (erickzONEs),"belum stabil aplikasi nya, Gagal login mulu (dengan keterangan Internal Server Error)",2022-05-13 09:49:11
Restianna Eliawaty Simanjuntak,Gak bisa di download aplikasi nya,2022-05-12 11:53:44
joe lim,Tidak bisa di buka hari ini,2022-05-12 08:59:35
Shadila Fira Asoka,Sering ngecrash tapi kalau untuk pembayaran mudah,2022-05-12 07:24:08
Gita Puspitasari,Mau sign mau join susah semua padahal email sama kata sandi bener Ampe bikin email baru tetep salah juga aplikasi jelek,2022-05-11 16:04:39
widya Ainalisa,Susah banget buat masuk Udah ga punya kode ko malah ga bisa,2022-05-11 11:25:34
Hadi Widodo,Mantap,2022-05-08 11:05:58
Iyang Gunawan,Parah bgt mau sign in masukan email salah mulu padahal gw BNR dah masukan email & password pasti tulisan nya error' suruh masukan email yg benar .plz deh.gak bs login PK no hp ja gt??mana ada saldonya lagi di app SBUCK NYA😭😭😭😭😭😭,2022-05-01 12:28:18
Djuliani Laiman,Starbucks is the best,2022-04-29 03:08:34
Eunike Nadya Elisa,Erorr.,2022-04-26 19:13:35
Chairul Fajar,di update terbaru g bisa masuk katanya ponsel ter root padahal kondisinya lagi unroot..,2022-04-26 19:11:23
Aditi Aditia,andi,2022-04-26 13:40:29
Samuel Alexander,gabisa pencet tombol sign in error di sistem nya,2022-04-25 21:06:59
Kent Channel,Good,2022-04-25 14:15:04
irfan herdiana,Gooood,2022-04-25 13:49:03
Oky Naron,tidak bisa login,2022-04-20 20:09:31
Taa_Cans Taa_Grils,Starbucks emang paling debes,2022-04-19 16:59:28
Benny Nathanael,super app. thanks.,2022-04-18 05:11:03
Lutfi Rahman,"Parah, mau order di surabaya malah yang tersedia di jakarta ajaa.. segera di perbaiki",2022-04-16 15:15:18
Adhon Nur,Mantaap,2022-04-14 13:13:19
Pipin Teja,"selalu error gaada internet waktu mau login dan buat passcode pdhal internetny kenceng, tolong diperbaiki..",2022-04-11 08:42:59
Wiky Setiawan (Martini setiawan),Gk bs daftar knp ya gk mau msk terus,2022-04-08 02:25:42
lee muhammad,"Mau order buat lokasi terdekat malah gabisa. Asik di jkt mulu, kan gue tinggal di medan. Dah di search dan on location. Mengheran",2022-04-04 16:31:55
Ayang Basril,Sangat bagus,2022-03-30 11:44:24
Andre Hendra Gunawan,Excellent,2022-03-29 13:41:55
Sity Cuan,Paraaaaaah banget gabsa sign in sama sekali sampai cape bgt sumpah,2022-03-28 21:38:31
Andri Arfianto,Aplikasi ga guna,2022-03-28 12:03:48
Ridjal,Starbuck mantap banyak bonus,2022-03-25 11:14:33
Abigael Alta,Terbaik,2022-03-23 18:46:47
stefanus triandika,Aplikasi tidak dapat dibuka.,2022-03-22 17:13:05
Roy Nasrul Mukhlis,Gak asik,2022-03-22 15:51:30
Enggar Banchamek,"Mbak-mbak baristanya suka menjebak pembeli. Di daftar harga tertera 32rb, tapi mbak-mbak baristanya bilang ini itu ini itu, kami sebagai pembeli mengira itu free karena mbak-mbak baristanya gak bilang kalau tambah ini bayar sekian. Kopi yang tertera didaftar menu seharga 32rb, tapi waktu bayar 70rb.",2022-03-19 19:15:53
Zaroki Saputra,Top,2022-03-19 13:52:58
agum ekaputra,"Cek store terdekat aja ga bisa, gimana mau beli lewat aplikasi coba",2022-03-17 19:12:05
Rizal Fuad Sidiq,"Yang gabisa nemu OTP, kalian bisa cari di Bagian Promo di email disitu tertera Kode OTP nya",2022-03-16 15:08:50
hangga sakti,Mohon dibantu starbuck saya udah join now saat saya mau sign in kok susah padahal saya udah punya kartu starbuck,2022-03-15 12:29:15
Mr Anip,Kontholl mau masuk ribet banget sekeren apa si aplikasi lo dasar,2022-03-14 18:03:46
Hanif Muslim,Yg bilang login masukin code perasaan saya gampang² aja gada kesulitan. Kesulitan nya cuma 1 mau milih tapi kantong menipis:((( muehehe:v,2022-03-14 08:39:14
Penny lestari,Mantap,2022-03-12 12:04:55
Novi ciku,Starbucks lu lagi kenapa sii sekelas lu kenapa ribet amatt gini,2022-03-12 11:51:31
Maria Janitra,"Rabu 17 November 21 jam 1353 dapat order dari customer sebesar rp.1juta lebih, sudah dikasih nota ,saya foto,saya tunggu diluar[karena nungguin didalam tidak boleh]sangat tidak menghargai ojol,saya tunggu 30menit lebih,pelayan cowok tinggi kurus keluar bilang mau dicancel, karena stok habis, njancuk koe mas, kerja nggak profesional, sekelas Starbucks dari Amerika tidak bisa menghargai waktu,waktu adalah uang,uang orderan saya hilang,tips customer juga hilang,staff Starbucks setahu saya min D3 ta",2022-03-08 05:44:13
Joo Joo,Koq ga bs sign in yah???,2022-03-07 15:46:16
Echa Oktarini,mau login tp d suruh update. Giliran mau update malah ga bisa2,2022-03-04 17:11:35
Muhammad Tahmid,"jarang saya temui bintang 5, biar jd perwakilan, Jos sering ada Reward.",2022-03-03 21:30:27
widi widiana,Tidak bisa login ketika memasukan OTP gagal terus sudah 20kali. Tolong perbaiki lagi aplikasinya. Terimakasih,2022-03-03 13:15:02
Rahmadi Yunus Nugroho,"Sulit sekali untuk bisa log in, sudah berhasil join now tapi tidak bisa log in. Saya sampai coba forget password tapi tetap tidak berhasil.",2022-03-01 22:06:07
Eka Purwanti,Mak nyusssss,2022-02-28 15:27:40
Sri Wahyuni,Nice service,2022-02-27 04:36:00
The Flash Auction,"Mantap ini ke3x dihapus, apps nya gk ngasih extra bintang pas top up, tulis email gk direspon, tlp customer care sibuk, ancuurrr, nipuuuuuu",2022-02-25 11:02:55
Fitri Widyaningsih,"gak bisa daftar katanya emailnya gak valid , pdhl email yang saya masukkan itu dipake setiap hari . Gimna sih ?",2022-02-21 13:43:44
santi annisa,"Ini kopi kalau tidak niat dengan adanya aplikasi mending tidak usah pakai aplikasi deh.. ribet banget 🤦🤦 ya ampun.. kalau untuk perbandingan aplikasi antara kopi kenangan lebih mudah,, mulai daftar, pesen,, pembayaran dll🤦 padahal sekelas Starbucks mewah kenapa lemah di aplikasi, sebagai pecinta Starbucks kecewa sih🤦🤦",2022-02-18 09:53:46
Skl Bryant,"Saran: minuman Internasional pelayanan kurang begitu baik,member sy sudah Gold sekarang menjadi Green Level mengapa❓❓❓ hitungan sy top up selama sebulan bisa mencapai 1.5juta..itupun sebagai pelanggan yg penikmat kopi tidak dirangsang dgn hadiah - hadiah ( karena jaman omincron )mohon utk kelanjutan dalam berbisnis..cari karyawan yg mengerti akan setiap pelanggan jangan bekerja dgn muka dilipat menjadi 6...",2022-02-18 07:31:25
Gitta Indriana,Belom bisa order di bandung. Nanti klo ud bisa order ganti bintang 5,2022-02-15 09:02:45
Yohanes Nathannael,E-CODE NYA ERROR MULU KALO NGASIH OTP YANG BENER BIKIN INVALID MULU SANDI BENER EMAIL BENER Kalo ga niat ngasih KODE ke pembeli gaush bikin apk nya.,2022-02-12 12:31:37
Dinda oktavkani Ndjuruhapa,Ga jelas ga bisa masuk no otp tidak valid ga jelas,2022-02-11 13:05:34
Gallery Al Rais,Very good,2022-02-09 19:59:24
Putra Suntuk,Baik,2022-02-08 13:30:46
Serpong Teknik,Good coffee quality,2022-02-05 14:13:58
Rezyn _,"Aplikasi rusak, ga bisa login _- internet tidak ada akses padahal sinyal kenceng _-",2022-02-02 15:52:35
Taufiq AB,"Aplikasi gak bisa dibuka sama sekali, markom nul markom nul doang, balanceku masih ada. Kesal",2022-01-31 18:59:54
Frangky Sihombing,Bagus.,2022-01-30 07:28:04
Amex Riya,Banyak promo,2022-01-29 14:10:55
KangMining7761,"saya bantu ngasi bintang 5, kasian adminnya salah mulu ;)",2022-01-29 12:56:43
Andina Septiani,"ga bisa sign in, padahal emailnya bener, passwordnya juga bener",2022-01-29 09:16:28
yunita cendrawati,Sangat puas minum starbucks,2022-01-25 22:12:24
Lukas Maman,Aplikasi ini sangat berguna kasih bintang 5 jika bisa pembayaran via gopay,2022-01-23 18:51:23
Ficky Adrian Agus,"Ga bisa registrasi, salah mulu ky cewek",2022-01-23 16:58:35
Rafasyah,"Gabisa login terusss dah hampir sebulan nyoba login belum bisa2 sampe sekarang:""",2022-01-21 22:18:35
Rifki Prandiya,"Aplikasinya sakit, mending starling ga ribet :)",2022-01-21 20:49:48
Temp8,"Tidak bisa daftar, selain kendala kode OTP, banyak juga kenda lainnya saat mendaftar, seperti server error dan nomor atau email katanya sudah terdaftar padahal belum pernah download dan daftar sebelumnya. Sudah banyak komplain mengenai hal ini tapi pihak yang bersangkutan juga belum mengatasi sampai sekarang.",2022-01-20 17:03:36
Safar Scamander,"""INTERNAL SERVER ERROR"" PLEASE FIX IT.",2022-01-20 03:32:38
Lody Runtu,Feel at home❤😍👍🙏,2022-01-19 08:55:57
ind utomo,Good taste,2022-01-17 22:03:02
yantie Haryanti,Ok,2022-01-14 09:49:27
dirami 99,"aplikasinya parah cacadnya ..lemot, lama, buat id aja prosesnya lama...masak starbuck buat aplikasi yg mufah simple aja g bisa g kayak branf kopi lain yg mudah simple cara daftar dan buat id nya...cacad parah sihh....dah banyak yg ngasih review jelek g malah diperbaiki aplikasi ..dasar hadehhh....",2022-01-13 11:02:43
syailahh h,Jangan percaya voucher 10k,2022-01-13 03:32:12
Christofer Jones Tampubolon,"Banyak penawaran asal diberikan ke konsumen, tanpa melihat kondisi dilapangan. Hapus aja aplikasi ini kalau tidak bermanfaat.",2022-01-11 17:25:00
Dewayu Angel,Susah banget joinnya,2022-01-09 19:59:55
Ria Maria,"Tidak bisa login, daftar pakai no lain juga tidak bisa",2022-01-09 10:07:20
Rifa Sunardi,Coffe nya the best,2022-01-07 17:34:57
Irene Anastasya,Udah input verifikasi code yg dikirim ke email ttp gak ba masuk udah berapa kali dicoba ttp gak bisa,2022-01-07 16:46:04
Hendry Jampiter Tobing,Semakin di maksimalkan ya seluruh fitur nya,2022-01-07 09:38:47
Iwan 1910,Jos mantul,2022-01-05 13:26:28
Bram Journey,Sangat membantu,2022-01-04 19:55:33
Josias Lokollo,Oke dan cepat,2022-01-04 12:54:26
Ni Putu Ratri Mahayasa,Harus lbh dipermudah lagi yaa aplikasinya Starbucks,2022-01-03 22:22:25
Mohamad Nur Rizqon,Susah masuk nya,2022-01-02 21:48:28
Fachmi Dwi Gunawan,Log in nya kaga mulu dah,2022-01-02 15:59:00
Peter,Good apps,2022-01-02 09:00:24
Yohanes Susatya,👍🏻👍🏻👍🏻,2022-01-02 00:02:03
Ismail Fahmi,Ok,2022-01-01 20:55:32
Aulia Ayu Aisyah,Mau ganti password gabisa login terus. Padahal sudah perbarui password,2022-01-01 16:45:31
william theoderic,"Percuma download, ribet, gak bs ter-registrasi...",2022-01-01 14:04:04
Agka Darmawan,Menarik,2022-01-01 13:25:10
Najwa Humayroh,"Aplikasinya buruk, ketika saya ingin join dan menginputkan kode security selalu gagal krn jaringan. Dasar aplikasi jelek",2022-01-01 08:19:14
Dermawan Wei,"app sangat lambat loadingnya, harap di upgrade. Kecewa",2021-12-31 09:34:48
Yohanes Surya Angkawijaya,"Kasih bintang 1 aja, daftar, di kaaih kode otp, pas isi data, kode otp invalid....🤣🤣",2021-12-30 15:20:08
Rossana Putri,Semua udh bnr tp gabisa signin susah bgt,2021-12-30 06:47:20
Ade Pradipta Harjanto_087,Okee sudah nice 👍,2021-12-29 22:51:49
Sarman Sdrmn,Ribet mau login aja ngga bisa iklas ngga sih bikin aplikasi ini,2021-12-29 21:52:39
nafsha food,Aplikasi busuk mau masuk ribet amat,2021-12-29 18:29:39
eka yulianti,"Aneh banget , udh lengkap buat join. Internal server error terus.",2021-12-29 13:45:54
Noni Wulandari,susah dipake,2021-12-29 13:31:17
Maria Desi,Buang2 wkt udh daftar masuk pass tp g bs hadeehhh repot udh masuk email udh berhasil eh loading terus,2021-12-29 12:10:25
Anang Sh,"Apk semple. Udah daftr, Giliran log in gk bisa username invlid terus diforgt juga gk dpt blsn email, ini apk gj bnget saya sudah coba dftr 2x dengn no tlfon berbeda dan email berbda tetap sama gk bisa log in.",2021-12-29 07:47:20
Guntur Puthra 05,Susah kirim OTPnya mending gak usah download sebelum ada perbaikan jelas,2021-12-29 02:36:07
Stephanus Eska,Good,2021-12-28 16:08:31
Yurika Syahrilsah,"MENDING GAUSAH DOWNLOAD, APPLIKASI GAK GUNA, UDH KLIK KIRIM OTP BERKALI2 GAK ADA 1 PUN OTP YG MASUK KE SMS",2021-12-28 15:37:08
brian,benerin tuh null code gajelas duit w banyak disini,2021-12-28 13:38:05
Rahma Wati,Gak jelas gak masuk masuk otp nya,2021-12-28 07:57:47
Shan,"Mohon aplikasi nya segera diperbaiki. Setiap join gak pernah dapet kode otp nya,padahal nomor hp yang gw masukin udah bener. Terus daftar lewat website nya malah gagal terus.",2021-12-27 19:52:11
Mitha Okta Amelia,OTPNYA GAK DIKIRIM KIRIIIIMMM . UDAH SEJAM GUE KLIK BERKALI KALI MINTA KODE OTP ! NIAT GAK SIH BKIN APK MEMBER?,2021-12-27 19:43:45
Sita Amalia,Ga jelas bgt mau sign up kode otp ga dikirim-kirim . Sekelas starbucks aplikasinya nge bug gini terus. Auto uninstall deh,2021-12-27 18:36:34
Irfan Indraprasetia,"Ga bisa digunakan, apk ngebug",2021-12-27 16:25:45
Karmila Mahdiyyah,Register udah tinggal sign aja gaisa hdeh gamau jalan sign nya,2021-12-27 13:11:00
Anastasia Purba,Aplikasi yang mengecewakan,2021-12-27 12:17:26
Venti Nur Halizah,Ga bisa masuk,2021-12-27 11:52:16
yusie,"Bagus, tp 6bulan kadaluarsa kartu, jd hangus uang di kartunya.",2021-12-27 10:08:09
Dwie Puspita20,Ini kenapa gabsa login sih. Udh dpt otp segala macem ttep gabisa. Mw login dibilangnya salah password. Aneh ni aplikasi,2021-12-27 07:07:05
Dena Mutiana,"aplikasi belum layak pakai, harap di maintenance ulang",2021-12-26 20:45:20
Adi Nurachman,"Aplikasi gajelas, gabisa login aneh padahal baru sign up",2021-12-26 17:10:44
martina araya,Tidak bisa ditarik uang nya kesel bngt buang2 duit dengan percuma,2021-12-26 15:36:17
Busan Santoso,Enak buat nongkrong,2021-12-26 15:32:32
macik rose,"Alahhhhhh marketingggg di janjiin promo ini itu, tapi di persulit .. biar apa??? Biar di download tuh aplikasi 😑",2021-12-26 13:47:56
Erwin Apriano,"Aplikasi nya nggak bisa di minimaze, mau liat kode otp diemail, malah kembali ke aplikasi ke hal sign in 😣😣😣",2021-12-26 11:57:02
Mesy Okta,Udah instal apk error ! Payah !!! Kasih bintang 1 karna apk nya tidak bisa dipakai dan server eror terus !!!,2021-12-26 09:45:47
Sepri Fernando,We've vvttvl,2021-12-26 09:22:21
Wawan Pancing,Promo tiputipu..,2021-12-26 01:42:37
Sandy Marchelino,"Please jgn download karena bakal susah/ bahkan gk bisa login. Saya sudah dapat kode otp dari email, lalu sudah saya masukan kode itu ke apk Starbucks. Tapi kenapa notif nya password salah. Dan sudah saya ulangi resens otp 5x . Tetap saja gk bisa log in, sungguh buang2 waktu dan kuota demi promo 10rb",2021-12-25 20:56:24
Dava azzaria,Mau login ga bisa woyy,2021-12-25 20:55:23
Erdiansyah Ep,Intern sever error,2021-12-25 20:21:11
Iyul Heendriyani,Gak bisa login terus,2021-12-25 19:12:12
saputra,Internal server error,2021-12-25 17:03:51
Zaenal Abidin,Bapuk,2021-12-25 13:09:17
Ranyara Putri,RANIAC-698E87 gunain vocher aku buat dapet dis 50%,2021-12-25 12:44:42
I KADEK AGUS ADIPRADANA [ 16 ],"Loading terus, gabisa dipake",2021-12-25 12:36:36
Hazmi Q,Gak bisa sign in,2021-12-25 11:00:58
Arleta Prisilia,gabisaa log inn 👎🏾👎🏾👎🏾,2021-12-25 10:55:21
Supri Alvin,Login eror terus....,2021-12-25 10:19:18
Ari Nur Hidayat,Error terusssssss,2021-12-25 06:54:09
u n d e r s c o r e _ 19,gabisa sign in blok,2021-12-25 05:22:19
peach,"ga bisa daftar, error terus aneh",2021-12-25 04:42:52
Aditia Kim,No internet connection pala lo peyang. Kesel bgt gue!!,2021-12-24 22:34:59
Novita indah Sari,Gajelas tiap signin gabisa,2021-12-24 18:36:55
JEFRI FERNANDO,"Ini komentar saya yg ke 3 setelah 2 komentar sebelumnya di atas tanpa ada solusi sama sekali, coba deh kalian install aplikasi trus login / forgot password ,, gw jamin kode verifikasi nggak bakal masuk ke email kalian",2021-12-24 15:53:36
Dewanti Pratiwi,"Thank you for update, sudah lebih stabil dan user-friendly.",2021-12-24 00:02:59
Tirtameidy almasiva,Ngga bisa log in.... Padahal tinggal masukin kode Verifikasi nya aja,2021-12-23 20:22:10
Nexthetic,sekelas Starbucks kok aplikasi nya gini,2021-12-23 18:31:44
iwan yoga,Ga bisa login,2021-12-23 15:14:33
Wati Fatma,Gabisa login woi gimnaa;(,2021-12-23 15:06:54
alil nasution,Udah daftar udah selesai tapi pas log in masukin paswd malah gabisa 😶,2021-12-23 13:10:34
God king,Bali dikit boss masak jakarta,2021-12-23 12:28:23
Dimas fauzi Ramadhan,Aneh kaga bisa daftar,2021-12-23 11:06:31
Yani R.S,Mau login susah bgt,2021-12-23 10:39:46
Puput Melati,Mau masuk suruh masukin email sudah bener semua tapi ga bisa anjrot,2021-12-23 08:56:46
Hari Syaputra,"Aneh bgt sgala make referer kode, gajelas dh kan baru mau bikin akun knp jd ribet.",2021-12-23 07:13:49
lia umriah,Jelek bangeeeeed ribed,2021-12-23 04:47:45
Rani Wito,"Aplikasinya ga jelas. Mau masuk aja ribet, gimana sih.",2021-12-22 20:51:12
reynaldi rangga prayuda,"Saya mau applay promo di startbuck tsm bandung ga bisa, tolong priksa",2021-12-22 19:48:35
Dika 25,Baru download :( udah join in trus mw sign in tapi katanya invalid,2021-12-22 19:47:39
rayyaaa fauziah,yang bener kalo bikin aplikasi gblk,2021-12-22 18:09:02
bisma ramadhan,ga bisa login login jadi males,2021-12-22 17:25:39
bayu rs,"Click bait saja, tipu2",2021-12-22 14:56:33
give thank,"Gak bisaaa.... Pass di sign up failed keterangannya kode OTP failed, pdhal itu kode yg ngirim starbuck lgsg ke no HP kita.... Anehh!! Uninstall ajahlahh....",2021-12-22 11:39:28
Valentien Natalya,Internet server error Mulu padahal udah coba berhari hari dan pakai internet yang lancar. Ini kenapaaaa,2021-12-22 10:41:02
Lia Elita,"Aplikasi eror, di email tidak ada penyelesaian. Bagaimana ini?",2021-12-22 07:36:10
Cewek Gamer,Setiap percobaan login selalu stuck di konfirmasi kode pin karena loadingnga ngak pernah selesai alhasil gak bisa masuk. Tolong di perbaiki.,2021-12-22 05:18:51
anyelir sputri,Eror mulu gajelass,2021-12-21 20:11:16
Amili Raziki,Yang buatnya ke sirit mukanya ke kntl. Kntl nya budug,2021-12-21 18:11:52
Nurmenedi Nurmenedi,"Setiap kali memasukkan OTP not match, padahal udah copy paste. Wasting time !!!",2021-12-21 17:44:19
iCchilmino R,login gabisa gajelas,2021-12-21 17:17:26
Yuni Krisnawati,Ada promo kah Starbucks ukuran tall @Rp10.000 SD 31des 21?,2021-12-21 13:44:47
iftinan madhan,kenapa susah sekali loginnya? sudah ketik buat password beberapa kali tapi tidak bisa log in,2021-12-21 13:28:17
Dewi Belleza,Loginnya susah..otp sms smp 4x..otp email smp 2x..pas bikin code pasword malah eror terus.,2021-12-21 12:54:51
wahyudi ramadhan,"Ga bisa login, masih erroe",2021-12-21 12:54:37
anita 317,Susah sekali untuk sign in,2021-12-21 12:43:13
Muhammad Ichsan Saputra,gabisa login mulu. aplikasi masih nge bug gini udah di launching aje,2021-12-21 12:40:02
Andrean Romanky,"Mau daftar aja ""internal server error"" terus. Gada pilihan bahasa Indonesia lagi. Aplikasinya kayak nggak selevel sama Starbucks gitu.",2021-12-21 12:17:23
Luthfi Arya,Mau log in aja susah hadehh,2021-12-21 12:07:44
Novasta 11,Cara order minum di tangerang gimana ia....,2021-12-21 11:54:37
Melisa Putri,Referral code nya apa ya ?? Gk paham saya,2021-12-21 10:42:46
Rossa SWY,Susah sig in,2021-12-21 08:45:48
