Ulasan,stemming,Learnability,Efficiency,Errors,Satisfaction
Pakai kode referral saat daftar (sign up) SELSABILLAA-676825 -reward diskon 25k min pembelian 50K -reward minuman tall 10k setelah top up (Reward berlaku selama 7 hari),"['pakai', 'kode', 'referral', 'daftar', 'sign', 'up', 'selsabillaa', 'reward', 'diskon', 'beli', 'reward', 'minum', 'tall', 'top', 'up', 'reward', 'laku']",0,0,0,0
Aplikasi gak guna. Mau registered aja susah banget,"['aplikasi', 'registered', 'sulit', 'banget']",0,0,-1,0
"Tidak bisa login, kode OTP selalu salah.","['login', 'kode', 'otp', 'salah']",0,0,-1,0
"Banyak gratisan, asal tau promonya","['gratis', 'promonya']",0,0,1,0
"Saya pengguna lama Starbucks Card, dan sdh Gold Level, ini mau update knp susah sekali, apakah ini mempengaruhi isi dan reward di card saya? Tolong sistemnya jangan terlalu ketat begini.","['guna', 'starbucks', 'card', 'gold', 'level', 'sulit', 'pengaruh', 'isi', 'reward', 'card', 'tolong', 'sistem', 'ketat']",0,-1,-1,0
Saat mau buat akun kode OTP ga muncul²,"['akun', 'kode', 'otp', 'muncul']",0,0,-1,0
Loading lama,['loading'],0,-1,-1,0
Loading lama gamasuk masuk,"['loading', 'gamasuk']",0,0,-1,0
RIBET,['ribet'],0,0,0,-1
Mantap sekali kopinya enak,"['mantap', 'kopi']",0,0,0,0
aneh bgt mau join malah gabisa diklik-_-,"['aneh', 'banget', 'join', 'enggak bisa', 'klik']",-1,0,-1,0
"Kerjaan Starbuck IT tambah parah, tiap kali update dan tambah lemot saja, kalo bintang 0, sy kasih bintang 0","['kerja', 'starbuck', 'parah', 'lot', 'bintang', 'kasih', 'bintang']",-1,-1,0,0
Susehhhh,['susehh'],0,0,0,-1
Good. Fiturnya lebih banyak dibanding versi di luar negeri 👍,"['fiturnya', 'banding', 'versi', 'negeri']",0,0,1,1
Aplikasinya kurang stabil. Bisa tiba-tiba keluar sendiri dari aplikasi.,"['aplikasi', 'stabil', 'tibatiba', 'aplikasi']",-1,0,-1,0
sometimes the application can not be opened,"['sometimes', 'application', 'not', 'opened']",-1,0,-1,0
"Sekelas starbucks mau daftar aja susah banget, invalid terus capek","['kelas', 'starbucks', 'daftar', 'sulit', 'banget', 'invalid', 'capek']",0,0,-1,0
"Secara fitur sudah tergolong banyak, fitur cukup informatif, lebih memudahkan. Untuk kecepatan loading tolong ditingkatkan","['fitur', 'golong', 'fitur', 'informatif', 'mudah', 'cepat', 'loading', 'tolong', 'tingkat']",0,1,1,0
"Mempermudah skali, pesan tanpa ke kasir, bisa liat all menu, dan info lengkap cuma lewat aplikasi","['mudah', 'pesan', 'kasir', 'all', 'menu', 'info', 'lengkap', 'aplikasi']",0,1,0,0
Pesen pake aplikasi praktis ga perlu ngantri.. Banyak voucher dan promo nya.,"['pesan', 'pakai', 'aplikasi', 'praktis', 'antri', 'voucher', 'promo']",0,1,0,0
"Aduh giliran mau di pake suruh update, biasa tinggal klik update trs langsung bisa dipake, ini kenapa malah disuruh instal di perangkat lain😩mana masi ada saldo nya, gimana ini","['aduh', 'gilir', 'pakai', 'suruh', 'tinggal', 'klik', 'pakai', 'suruh', 'instal', 'perangkat', 'lainmana', 'saldo']",0,0,-1,0
Saya tidak bisa masuk ke aplikasi di situ ada saldooo woiiii,"['aplikasi', 'situ', 'saldoo']",0,0,-1,0
"Reward,Service,SDM -Good",['rewardservicesdm'],0,0,0,1
Ga bisa dibuka apps nya,"['buka', 'apps']",0,0,-1,0
Appnya coba di permudah,"['appnya', 'coba', 'mudah']",-1,0,0,0
"Mantap, banyak promo, tapi kadang error pas hari hari tertentu","['mantap', 'promo', 'kadang', 'error', 'pas']",0,0,1,1
"Ini tiba2 minta update , tp ngak bisa di update ,padahal terakhir pake kemaren malam masih bisa , kacau nich sbuck","['pakai', 'kemarin', 'malam', 'kacau', 'sbuck']",0,0,-1,0
Mantap,['mantap'],0,0,0,1
"Suka ngasih promo gaes, mayan banget kalo lagi akhir bulan","['suka', 'asih', 'promo', 'lumayan', 'banget']",0,0,1,0
Prosesny kdg Ribet mu download kdg susah..smoga Bs d perbaiki lagi perfomany,"['prosesny', 'kadang', 'ribet', 'mu', 'download', 'kadang', 'susahsmoga', 'baik', 'perfomany']",-1,0,-1,0
apps down mlulu. saldo jadi nggak bisa transaksi,"['apps', 'down', 'mlulu', 'saldo', 'transaksi']",-1,0,-1,0
Oke hari ini sdh mantep appnya.hehee,"['mantap', 'appnyahehee']",0,0,0,1
Sering ngadat dan eror,"['ngadat', 'eror']",0,0,-1,0
"Payah nih aplikasi abis di update malah gagal trus pas masuk. Sinyal kenceng malah suruh refresh mulu. IT nya kerjain apa sih,sekelas starbucks IT nya ABAL ABAL!!!","['payah', 'aplikasi', 'habis', 'gagal', 'pas', 'sinyal', 'kencang', 'suruh', 'refresh', 'mulu', 'kerjain', 'sihsekelas', 'starbucks', 'abal', 'abal']",0,0,-1,0
Lemot bgt,"['lot', 'banget']",-1,-1,0,0
Kenapa setelah diupdate aplikasinya jd gak bisa dibukaaaaaaaa?????,"['diupdate', 'aplikasi', 'dibukaa']",0,0,-1,0
Semakin di update malah semakin ancur. Lepaspasang aplikasi gak juga bener. Udah pakai wifi karna pakai data di bilang jaringan kena tapi tetap juga 🗿,"['hancur', 'lepaspasang', 'aplikasi', 'pakai', 'wifi', 'pakai', 'data', 'jaring']",0,0,-1,0
Parah. Habis update langsung lemooooooooot pol. Gakbisa tampil gambarnya. Perbaiki dong. Mending aplikasi yg lama.,"['parah', 'habis', 'lemoot', 'gakbisa', 'tampil', 'gambar', 'baik', 'mending', 'aplikasi']",-1,-1,-1,0
"Tolong ditingkatkan dan dibenahi aplikasinya. sangat susah untuk mengakses aplikasinya, saya sudah coba gonta ganti jaringan masih saja gagal buka.","['tolong', 'tingkat', 'benah', 'aplikasi', 'sulit', 'akses', 'aplikasi', 'coba', 'gonta', 'ganti', 'jaring', 'gagal', 'buka']",-1,0,-1,0
Sungguh sungguh lemot aplikasi nya,"['sungguh', 'sungguh', 'lot', 'aplikasi']",-1,-1,0,0
"App starbucks error terus gabisa login, sekalinya udh bisa buka reward gabisa2 ... udah banyak yang kasih komen keluhan kenapa tidak ada peningkatannya","['app', 'starbucks', 'error', 'enggak bisa', 'login', 'sekali', 'buka', 'reward', 'enggak bisa', 'kasih', 'komen', 'keluh', 'tingkat']",0,0,-1,0
"Setelah di update koq malah ga kebuka, network unstable mulu, padahal buka aplikasi lain, lancar2 aja.. mending balikin aja ke versi sebelumnya..","['buka', 'network', 'unstable', 'mulu', 'buka', 'aplikasi', 'lancar', 'mending', 'balikin', 'versi']",0,0,-1,0
Aneh bgt.. Abis update malah lemot buka aplikasinya.. Padahal yg sebelumnya aman aman ajh,"['aneh', 'banget', 'habis', 'lot', 'buka', 'aplikasi', 'aman', 'aman']",-1,-1,0,0
Lelet,['lelet'],-1,-1,0,0
"Ini kecepatan internetnya harus 91gbps kalinya, lemot bgt aplikasinya cok","['cepat', 'internetnya', 'gbps', 'kali', 'lot', 'banget', 'aplikasi']",-1,-1,-1,0
app lag,"['app', 'lag']",0,0,-1,0
Udah aku klik join now beberapa kali ga bisa,"['klik', 'join', 'now']",0,0,-1,0
👍🌟🌟🌟🌟🌟,[],0,0,0,1
"Tolong bugs diperbaiki, setelah update apps versi terbaru loading membutuhkan waktu yg lama pada saat aplikasinya digunakan. Kenyamanan bertransaksi saat menggunakan apps sangat terganggu","['tolong', 'bugs', 'baik', 'apps', 'versi', 'baru', 'loading', 'butuh', 'aplikasi', 'nyaman', 'transaksi', 'apps', 'ganggu']",0,-1,-1,0
"nyesel banget aku update, malah makin lemot ampun daah, dari login sampai semua fiturnya ruaaarr biasa lelet..segera perbaiki bugs nya kalau pengen pelanggan setia tetap sudi spend money buat kalian, mengingat sudah banyak pesaing bisnis yg jauh lebih friendly kantong, thx","['sesal', 'banget', 'lot', 'ampun', 'login', 'fiturnya', 'ruaarr', 'leletsegera', 'baik', 'bugs', 'pengin', 'langgan', 'setia', 'sudi', 'spend', 'money', 'saing', 'bisnis', 'friendly', 'kantong', 'thx']",0,-1,-1,0
Gila yaaa aplikasinya berat bgt apa smpe susah di buka. Apa apa suruh lewat aplikasi tapi aplikasinya parah bgt loading doang,"['gila', 'aplikasi', 'berat', 'banget', 'sulit', 'buka', 'suruh', 'aplikasi', 'aplikasi', 'parah', 'banget', 'loading', 'doang']",-1,-1,-1,0
Lemot...udah isi saldo tau ga lsg ke isi...saya malu bgt dikira saya ga punya duit. Padahal saya ini recus setia.,"['lemotudah', 'isi', 'saldo', 'isisaya', 'malu', 'banget', 'duit', 'recus', 'setia']",0,-1,-1,0
"Parah si sekelas starbuck tp aplikasi nya susah mau top up krna aplikasi error 🤦‍♀️🤦‍♀️ kalau d update tlg yg bgs dong, ga mungkin low budget kan untuk ngurus aps nya 🥲","['parah', 'kelas', 'starbuck', 'aplikasi', 'sulit', 'top', 'up', 'aplikasi', 'error', 'tokamung', 'bagus', 'low', 'budget', 'urus', 'aps']",-1,0,-1,0
"Coba dftr strbuck dam login tp gagal, coba call center tp malah gk diangkat udh mah kenaa penguran pulsa:)","['coba', 'daftar', 'starbucks', 'dam', 'login', 'gagal', 'coba', 'call', 'center', 'angkat', 'kenaa', 'kur', 'pulsa']",0,0,-1,0
"Aplikasi ga bisa di buka, loading lama bgt padahal wifi kenceng bgt","['aplikasi', 'buka', 'loading', 'banget', 'wifi', 'kencang', 'banget']",0,-1,-1,0
Ga bisa login....habis upgrade keluar ga bs masuk² lagi..hihh,"['loginhabis', 'upgrade', 'lagihihh']",0,0,-1,0
min kok gabisa sign in padahal udah bener email passnya:(,"['enggak bisa', 'sign', 'email', 'passnya']",0,0,-1,0
OTP Via WhatsApp Min Tolong Update Versi Barunya,"['otp', 'via', 'whatsapp', 'tolong', 'versi', 'baru']",0,0,-1,0
Kenapa ya ketika sign up tuh salah nya di email terus sampe Gonta ganti email tetep aja katanya ga valid udah males duluan jadinya .,"['sign', 'up', 'salah', 'email', 'gonta', 'ganti', 'email', 'valid', 'malas', 'duluan']",0,0,-1,0
Untuk order via apps harusnya bisa detect store yg bener bener deket. Atau memang hanya bisa dipakai untuk area jakarta saja ?,"['order', 'via', 'apps', 'detect', 'store', 'pakai', 'area', 'jakarta']",0,0,-1,0
Sangat buruk aplikasinya ga bisa login.,"['buruk', 'aplikasi', 'login']",0,0,-1,0
"Udah saya install terus uninstall tapi tetep gabisa dibuka, tolong untuk segera diperbaiki. Terimakasih","['install', 'uninstall', 'enggak bisa', 'buka', 'tolong', 'baik', 'terimakasih']",0,0,-1,0
Good,[],0,0,0,1
"Parah si buka aplikasi tampilan nya logo doang, udah di depan kasir. Sudah banyak keluhan tolong diperbaiki !!!!","['parah', 'buka', 'aplikasi', 'tampil', 'logo', 'doang', 'kasir', 'keluh', 'tolong', 'baik']",0,0,-1,0
"Katanya kode verifikasi dikirim di email, tapi ko gaada email masuk?","['kode', 'verifikasi', 'kirim', 'email', 'enggak ada', 'email']",0,0,-1,0
Mahal sampai diskon pun masih terasa mahal,"['mahal', 'diskon', 'mahal']",0,0,0,0
Parah samapi kasir aplikasi eror,"['parah', 'samapi', 'kasir', 'aplikasi', 'eror']",0,0,-1,0
Lemot,['lot'],0,-1,-1,0
Capek sendiri bolakbalik email tp gabsa login jg pdhl kode otp nya gada-_- heran,"['capek', 'bolakbalik', 'email', 'tidak bisa', 'login', 'kode', 'otp', 'enggak ada', 'heran']",0,0,-1,0
UI kurang Nyaman aja susah Custom Pesanan juga BTW ini Kalo Mau REFERAL : ARIEFR-3D306A,"['ui', 'nyaman', 'sulit', 'custom', 'pesan', 'referal', 'ariefrda']",-1,0,-1,0
"Aplikasi nya sulit dibuka, kadang gak bisa dibuka sama sekali","['aplikasi', 'sulit', 'buka', 'kadang', 'buka']",0,0,-1,0
Sering gangguan Tidak bisa di buka Bad!!!,"['ganggu', 'buka', 'bad']",0,0,-1,0
Menunya bagus tapi kalau aplikasinya susah daftarnya udah bener isi data malah invalid code 🤣🤣👍👍,"['menu', 'bagus', 'aplikasi', 'sulit', 'daftar', 'isi', 'data', 'invalid', 'code']",0,0,-1,0
"Kalau bisa sediakan juga menu top up untuk ovo, dana gopay dll","['sedia', 'menu', 'top', 'up', 'ovo', 'dana', 'gopay', 'dan lain']",1,1,0,0
"Untuk menu ordernya ditambahin dong, kan bukan di pulau jawa doang yang mau mesen","['menu', 'order', 'ditambahin', 'pulau', 'jawa', 'doang', 'mesen']",0,0,-1,0
cara masukan refferal code yng gk puny teman piye toh,"['masuk', 'refferal', 'code', 'puny', 'teman']",-1,0,0,0
Udh lebih dari 10x lebih x gua download dan uninstalled ga bisa jga login. Cape bed. Apa perlu pake iphone biar lancar. Hey tingkatkan lgi x penilaian nya rendah semua. Ga ada kemajuan2 atas komplainnya.,"['gua', 'download', 'uninstalled', 'login', 'capek', 'bed', 'pakai', 'iphone', 'lancar', 'tingkat', 'nilai', 'rendah', 'maju', 'komplain']",0,0,-1,0
"Selalu error ga jelas, ujung ujung ga ke pakai saldo di apps. Mengecewakan","['error', 'ujung', 'ujung', 'pakai', 'saldo', 'apps', 'kecewa']",0,0,-1,0
Ini store nya apakah di Jakarta aja ko di Bandung ga ada ya pilihan di aplikasi,"['store', 'jakarta', 'bandung', 'pilih', 'aplikasi']",0,0,-1,0
Berkali-kali reset Pasword selalu ditolak dan gagal,"['berkalikali', 'reset', 'pasword', 'tolak', 'gagal']",0,0,-1,0
"untuk promo e-voucher diperbanyak, dn kalau bisa buat fitur dimana sisa saldo bisa kita tarik, seperti apk D*na/Ov* dll serta bebas topup tanpa minimal nominal berapa pun itu akan sangat bagus,","['promo', 'evoucher', 'banyak', 'fitur', 'mana', 'sisa', 'saldo', 'tarik', 'apk', 'dnaov', 'dan lain', 'bebas', 'topup', 'minimal', 'nominal', 'bagus']",0,0,1,0
"JANGAN PAKE APLIKASI INI SAYA DAFTAR SMPE KIAMAT GA PERNAH BISA, UDAH INI APLIKASI BEJAT BANGSATT ANJINGGGGGG","['pakai', 'aplikasi', 'daftar', 'kiamat', 'aplikasi', 'bejat', 'bangsatt', 'anjingg']",0,0,-1,0
Starbucks Alauddin Makassar kurang memuaskan pelayanannya..kita sebagai kastemer di anggap bukan pembelinya...sampai sampai strum buat cas hp d lepas sampai aliran listrikx d matikan.namanya saja resto besar biar cas tidak boleh,"['starbucks', 'alauddin', 'makassar', 'muas', 'pelayanannyakita', 'kastemer', 'anggap', 'pembelinyasampai', 'strum', 'cas', 'handphone', 'lepas', 'alir', 'listrikx', 'matikannamanya', 'resto', 'cas']",0,0,0,0
sering mengalami error dan lambat kalau dibuka. harus hapus cache dulu.,"['alami', 'error', 'lambat', 'buka', 'hapus', 'cache']",0,0,-1,0
Kapok sama barista di starbucks benhil. Sangat tidak ramah. Parah bgt pelayanannya,"['kapok', 'barista', 'starbucks', 'benhil', 'ramah', 'parah', 'banget', 'layan']",0,0,0,0
Sangat Baik,[],0,0,0,1
"Aduhh kalau belum siap jgn di release dulu, sudah pake 2 nomor dan 2 email msh gak bisa log in... ITx payaahhhh sekelas starbucks... trm ksh sudah di respon.. move five stars","['aduh', 'release', 'pakai', 'nomor', 'email', 'log', 'itx', 'payaahh', 'kelas', 'starbucks', 'trm', 'kasih', 'respon', 'pindah', 'five', 'stars']",0,0,-1,0
otp nya lama banget. waktu nya udah abis 5 menit kemudian baru muncul notif nya gimana si ini,"['otp', 'banget', 'habis', 'menit', 'muncul', 'notif']",0,0,-1,0
Sy tidak bisa loging sy pake hp oppo f11 ga bisa sign in,"['loging', 'pakai', 'handphone', 'oppo', 'sign']",0,0,-1,0
Mantaaapppp,['mantaapp'],0,0,0,1
Pakai 2 email 2 nomer hp..tetap invalid....bener2 gak worth it....tolong di upgrade dong aplikasinya 🥲,"['pakai', 'email', 'nomer', 'hptetap', 'invalidbener', 'worth', 'ittolong', 'upgrade', 'aplikasi']",0,0,-1,0
"Mau login kembali gak bisa, justru di tulis password dan username invalid padahal udh daftar","['login', 'tulis', 'password', 'username', 'invalid', 'daftar']",0,0,-1,0
"Selemot ini, buat gunain aplikasinya 😔.","['lot', 'gunain', 'aplikasi']",0,-1,-1,0
Mau sign in gak bisa-bisa👎,"['sign', 'bisabisa']",0,0,-1,0
"Udah register dan udh dapat confirmasi dari email tp pas sign in blg email sm password salah, gmn sih??","['register', 'confirmasi', 'email', 'pas', 'sign', 'email', 'password', 'salah']",0,0,-1,0
"Padahal sudah daftar tapi gak bisa sign in, udh daftar pake 3 nomor sma 3 email tapi ttp aja gak bsa sign in keterangannya invalid mulu. Ini apk mending di apus aja gak guna :)","['daftar', 'sign', 'daftar', 'pakai', 'nomor', 'email', 'sign', 'terang', 'invalid', 'mulu', 'apk', 'mending', 'hapus']",0,0,-1,0
"Perusahaan Besar Aplikasi Lemot nya Minta Ampun , Lokasi ga Update, Maaf Uninstall Segera","['usaha', 'aplikasi', 'lot', 'ampun', 'lokasi', 'maaf', 'uninstall']",0,-1,-1,0
"Ga bisa login, padahal email dan password yang di masukkan sudah betul","['login', 'email', 'password', 'masuk']",0,0,-1,0
susah ribet nnti coba lagi klo g mager,"['sulit', 'ribet', 'coba', 'mager']",-1,0,0,0
Sumpah aplikasinya berat banget kynya yaa. Buka lama banget. Cuma logo yng muncul. SEJAM LEBIH WOOYY.. ..,"['sumpah', 'aplikasi', 'berat', 'banget', 'kynya', 'buka', 'banget', 'logo', 'muncul', 'jam']",0,-1,-1,0
Bru instal aja gk bsa sign in hadeeh.. capedeh,"['instal', 'sign', 'hadeeh', 'capedeh']",0,0,-1,0
"Saya tidak terima inbox sama sekali, terakhir terima inbox promo di bulan sept... Pdahl sdah coba hapus instal lagi ttep ja aplikasi gk ada inbox baru.. ini kenapa yh?","['terima', 'inbox', 'terima', 'inbox', 'promo', 'sept', 'pdahl', 'coba', 'hapus', 'instal', 'aplikasi', 'inbox']",0,0,-1,0
Ga bisa sign up :) terus gmn,"['sign', 'up']",0,0,-1,0
"Ketika ada reward harusnya diingetin percuma juga ngumpul2in point kalo ga dipake, kadang costumer kan ga cek punya reward/lupa. Terutama di outlet crbn 👌","['reward', 'ngumpulin', 'point', 'pakai', 'kadang', 'costumer', 'cek', 'rewardlupa', 'outlet', 'crbn']",0,0,0,0
Byk rewards dan simple pakainya,"['rewards', 'simple', 'pakai']",1,0,0,0
ribet,['ribet'],-1,0,0,0
"Posisi saya di kota cimahi, tp pilihan outlet nya malah jakarta semua ga bisa pilih terdekat gimana mau order nya ini","['posisi', 'kota', 'cimahi', 'pilih', 'outlet', 'jakarta', 'pilih', 'dekat', 'order']",0,0,-1,0
Kocak gabisa di buka,"['kocak', 'enggak bisa', 'buka']",0,0,-1,0
"Saya sangat senang sekali dengan pelayanan chacha di Starbucks TSM cibubur. To helpfull on 22 dec 2022 at 10:47 am. If i can give rating about of customer satisfactios, i give for her 98-100%. Thanks cha :)","['senang', 'layan', 'chacha', 'starbucks', 'tsm', 'cibubur', 'helpfull', 'dec', 'give', 'rating', 'about', 'customer', 'satisfactios', 'give', 'her', 'thanks', 'cha']",0,0,0,0
battle of the best bijak Potoajengposisidimana,"['battle', 'best', 'bijak', 'potoajengposisidimana']",0,0,0,0
Aplikasi ribet,"['aplikasi', 'ribet']",-1,0,0,0
🥰,[],0,0,0,1
"Kenapa mau di pakai malahan g bisa di buka ini aplikasi. ..saldo gue masih banyak , tolong dong ya !!!! Duh bukannya bikin praktis malahan bikin ribet","['pakai', 'buka', 'aplikasi', 'saldo', 'tolong', 'praktis', 'ribet']",0,-1,-1,0
"Error sekali tapi jangan lupa kebaikan yang lainnya. Banya promo, banyak point, banyak free. Nongki ternyaman daripada tempat lainnya. Apalagi menu ADL ice sama Salted caramel,,top dahh","['error', 'lupa', 'baik', 'banya', 'promo', 'point', 'nongki', 'nyaman', 'menu', 'ice', 'salted', 'carameltop']",0,0,1,0
Tempat meetup dan meeting yg nyaman sepanjang kenal starbucks. Thanks Starbucks,"['meetup', 'meeting', 'nyaman', 'kenal', 'starbucks', 'thanks', 'starbucks']",0,0,0,0
Bagus 👍,['bagus'],0,0,0,1
Aplikasi tidak bisa di buka. Gimana nasib dana saya yg ada? Terpaksa bayar dengan Cash karena ramai. Bayangkan jika tidak ada cash. Tolong perbaiki lah..,"['aplikasi', 'buka', 'nasib', 'dana', 'paksa', 'bayar', 'cash', 'ramai', 'bayang', 'cash', 'tolong', 'baik']",0,-1,-1,0
aplikasi nggak bisa di buka,"['aplikasi', 'buka']",0,0,-1,0
Mayan buat dapet promo sbux dan kumpulin poin hanya saja loading agak lama,"['lumayan', 'promo', 'sbux', 'kumpulin', 'poin', 'loading']",0,-1,1,0
The apps UI looks messed up on my phone,"['apps', 'ui', 'looks', 'messed', 'up', 'phone']",0,0,-1,0
Apk gbsa di donlot! Payah,"['apk', 'gbsa', 'download', 'payah']",0,0,-1,0
"Hallo, saya mencoba daftar pengguna baru di aplikasi starbuks kenapa selalu gagal yaa pendaftaran ituuu? Jaringan saya tidak masalah, tidak ada email masuk jga saran dong kaa","['coba', 'daftar', 'guna', 'aplikasi', 'starbuks', 'gagal', 'daftar', 'jaring', 'email', 'saran']",0,0,-1,0
"Baru kali ini kasih ulasan ☆ 1 , parah sie emang nie apk ga bisa dibuka, kirain abis kuota ternyata, emang apk nya yg error..","['kasih', 'ulas', 'parah', 'apk', 'buka', 'habis', 'kuota', 'apk', 'error']",0,0,-1,0
Kalau ada kendala segera diperbaiki merepotkan,"['kendala', 'baik', 'repot']",0,-1,0,0
"Aplikasi payah, ngeleh banget","['aplikasi', 'payah', 'ngeleh', 'banget']",-1,0,0,0
Gk bisa di buka... 😭😭,['buka'],0,0,-1,0
"selalu bermasalah di otpnya, dan saya sudah berulang kali tapi tetap gagal","['masalah', 'otpnya', 'ulang', 'gagal']",0,0,-1,0
"Gak bisa kebuka aplikasi, syg bgt saldo jd ngendap!","['buka', 'aplikasi', 'sayang', 'banget', 'saldo', 'ngendap']",0,0,-1,0
Aplikasi ngk bisa dibuka eror terus,"['aplikasi', 'buka', 'eror']",0,0,-1,0
"mau sign in tapi ""Internal server error"" terus","['sign', 'internal', 'server', 'error']",0,0,-1,0
kopi dn kueh ny sngt enk dn mntp. sngt trash dn lzat,"['kopi', 'kueh', 'mntp', 'trash', 'lzat']",0,0,0,0
STARBUCKSZZZZ,['starbuckszz'],0,0,0,0
Gmana ini masa saya ga bisa login.. Bugnya benerin dlu dong,"['login', 'bugnya', 'benerin']",0,0,-1,0
TDK bisa login,['login'],0,0,-1,0
"Aplikasinya ga bisa open udah ditungguin seharian, gimana ni? Mana masih ada saldonya","['aplikasi', 'open', 'ditungguin', 'hari', 'saldo']",0,0,-1,0
"Kesel bet dah, YANG BLG SBUX MINUMAN FANCY HOAX NJIR, APK JELEK GINI BANYAK BUG, ISI SALDO GA MUNCUL"" SALDONYA, INCOME LU BNYK TP BENERIN APK GINIAN AJA SUSAH AMAT","['kesel', 'banget', 'sbux', 'minum', 'fancy', 'hoax', 'apk', 'jelek', 'bug', 'isi', 'saldo', 'muncul', 'saldo', 'income', 'benerin', 'apk', 'sulit']",0,0,-1,-1
"Aplikasi sangat lambat saat akan digunakan membeli minuman lewat aplikasi, saat mencari store terdekat proses loadnya lama, mohon di perbaiki,","['aplikasi', 'lambat', 'beli', 'minum', 'aplikasi', 'cari', 'store', 'dekat', 'proses', 'loadnya', 'baik']",0,-1,-1,0
Mantap,['mantap'],0,0,0,1
"Kenapa saya mau masukin pin untuk pembayaran saya gagal terus , padahal sudah bener pin nya","['masuk', 'bayar', 'gagal']",0,0,-1,0
Brand doang baguss Tapi bikin aplikasi sendiri aja jelekk nya minta ampun,"['brand', 'doang', 'bagus', 'aplikasi', 'jelekk', 'ampun']",-1,0,0,0
Engga bisa kebuka aplikasinya,"['buka', 'aplikasi']",0,0,-1,0
"Tidak bisa dibuka sama sekali, pakai lupa password juga tidak ada balasan di email","['buka', 'pakai', 'lupa', 'password', 'balas', 'email']",0,0,-1,0
🇲🇨😎👉🏻📝♂️👍🏻♂️📝👈🏻😎🇲🇨,[],0,0,0,0
Percuma banyak colokan listriknya jika tidak bisa di gunakan. Tidak ada arus listriknya. Starbucks alauddin Makassar Harus selalu ingatin stafnya.👎👎,"['colok', 'listrik', 'arus', 'listrik', 'starbucks', 'alauddin', 'makassar', 'ingatin', 'staf']",0,0,0,0
